"Desc","Link","Make","Model","Year","Engine.Cap","Transm","Mileage","Color","Car.Type","Updated","Price"
"2015 Perodua Axia 998 G Hatchback","/new-cars/2586594/2015-perodua-axia-998-g-hatchback.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-12,30627
"2015 Perodua Axia 998 G Hatchback","/new-cars/2586584/2015-perodua-axia-998-g-hatchback.html","Perodua","Axia","2015","998cc","Automatic",NA,"Silver","NewCar",2015-12-12,33627
"Free 3 months Installment and 91 times car wash PERODUA AXIA 2015","/new-cars/2461329/free-3-months-installment-and-91-times-car-wash-perodua-axia-2015.html","Perodua","Axia","2015","998cc","Automatic",NA,"Green","NewCar",2015-12-12,32800
"Free 3 months Installment and 91 times car wash PERODUA Myvi1.3 X (A)","/new-cars/2461319/free-3-months-installment-and-91-times-car-wash-perodua-myvi1-3-x-a-.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Gold","NewCar",2015-12-12,43862
"Free 3 months Installment and 91 times car wash PERODUA Myvi1.5 SE (A)","/new-cars/2461322/free-3-months-installment-and-91-times-car-wash-perodua-myvi1-5-se-a-.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-12,52968
"Free 3 months Installment and 91 times car wash PERODUA ALZA 1.5 (A)","/new-cars/2459220/free-3-months-installment-and-91-times-car-wash-perodua-alza-1-5-a-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"White","NewCar",2015-12-12,52332
"2015 Perodua Myvi Standard G Spec cash rebate full loan","/new-cars/2579349/2015-perodua-myvi-standard-g-spec-cash-rebate-full-loan.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Red","NewCar",2015-12-12,44000
"2015 Perodua AXIA 1.0 Gear Up Ready Stock Units","/new-cars/2476138/2015-perodua-axia-1-0-gear-up-ready-stock-units.html","Perodua","Axia","2015","1000cc","Automatic",NA,"White","NewCar",2015-12-12,35000
"2014 Perodua Myvi 1.5 Extreme (A) Hatchback Show Room Display Unit","/new-cars/2631223/2014-perodua-myvi-1-5-extreme-a-hatchback-show-room-display-unit.html","Perodua","Myvi","2014","1495cc","Automatic",NA,"White","NewCar",2015-12-12,47800
"2015 - Perodua AXIA (A) 1.0 SE","/new-cars/2438252/2015-perodua-axia-a-1-0-se.html","Perodua","Axia","2015","1000cc","Automatic",NA,"Others","NewCar",2015-12-12,36637
"2015 - Perodua Alza Advance (A) 1.5 ","/new-cars/2438240/2015-perodua-alza-advance-a-1-5-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-12,52332
"2015 - Perodua Myvi (A) 1.5 SE","/new-cars/2438250/2015-perodua-myvi-a-1-5-se.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-12,49968
"2015 Perodua Alza 1.5 SE PROMOTION,DISCOUNT RM3000,FREE REVERSE CAMERA","/new-cars/2122982/2015-perodua-alza-1-5-se-promotion-discount-rm3000-free-reverse-camera.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Silver","NewCar",2015-12-12,57000
"2015 Perodua Myvi 1.3 X PROMOTION,DISCOUNT RM5000,FREE REVERSE CAMERA","/new-cars/2123093/2015-perodua-myvi-1-3-x-promotion-discount-rm5000-free-reverse-camera.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Silver","NewCar",2015-12-12,42500
"2015 Perodua Myvi M600 1.5 SE Year End Save More","/new-cars/2562136/2015-perodua-myvi-m600-1-5-se-year-end-save-more.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"White","NewCar",2015-12-12,48000
"2015 Perodua Myvi 1.3 FULL LOAN HIGH DISCOUNT UP TO RM6000","/new-cars/2627558/2015-perodua-myvi-1-3-full-loan-high-discount-up-to-rm6000.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Blue","NewCar",2015-12-12,39900
"Cheapest In Town 2015 Perodua Alza 1.5 Advance Wagon","/new-cars/2565041/cheapest-in-town-2015-perodua-alza-1-5-advance-wagon.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Purple","NewCar",2015-12-12,57860
"2015 Perodua Alza 1.5 (A) ADVANCE VERSION WITH CRAZY DISCOUNT UP TO RM6300 AND ATTRACTIVE FREE GIFT ","/new-cars/2519371/2015-perodua-alza-1-5-a-advance-version-with-crazy-discount-up-to-rm6300-and-attractive-free-gift-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-12,58632
"Cheapest In Town for 2015 Perodua Myvi 1.5 SE Hatchback","/new-cars/2391785/cheapest-in-town-for-2015-perodua-myvi-1-5-se-hatchback.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-12,46800
"Perodua Alza 1.5 Advance","/new-cars/2577356/perodua-alza-1-5-advance.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Silver","NewCar",2015-12-12,59900
"Perodua Myvi  1.3 X ","/new-cars/2577367/perodua-myvi-1-3-x-.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Gold","NewCar",2015-12-12,42500
"New Alza 2015 Advance Spec New Promotion **Cash Rebate Rm4000**","/new-cars/2221969/new-alza-2015-advance-spec-new-promotion-cash-rebate-rm4000-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Red","NewCar",2015-12-12,65400
"PERODUA MYVI 1.3 NEW FACELIFT 2015","/new-cars/1350524/perodua-myvi-1-3-new-facelift-2015.html","Perodua","Myvi","2014","-","Manual",NA,"Gold","NewCar",2015-12-12,41500
"FREE GIFT VOUCHER 4OOO TRUSTED PERODUA AXIA","/new-cars/2208956/free-gift-voucher-4ooo-trusted-perodua-axia.html","Perodua","Axia","2015","998cc","Automatic",NA,"Others","NewCar",2015-12-12,33000
"REBATE XXXX Perodua Alza 1.5CC","/new-cars/2329930/rebate-xxxx-perodua-alza-1-5cc.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Blue","NewCar",2015-12-12,50219
"Rebate (XXXX) 2015 Perodua Myvi 1.3cc ","/new-cars/2367701/rebate-xxxx-2015-perodua-myvi-1-3cc-.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Blue","NewCar",2015-12-12,39735
"Brand NEW Perodua Axia 1.0cc","/new-cars/2326858/brand-new-perodua-axia-1-0cc.html","Perodua","Axia","2015","1000cc","Automatic",NA,"White","NewCar",2015-12-12,21951
"NEW AXIA O DOWNPAYMENT.MUKA O. TnC APPLY","/new-cars/2121427/new-axia-o-downpayment-muka-o-tnc-apply.html","Perodua","Axia","2015","1000cc","Automatic",NA,"Green","NewCar",2015-12-12,31400
"2015 Perodua Alza 1.5 (A) S SERIES NEW FACELIFT WITH DISKAUN UP TO RM1800 OR ATTRACTIVE FREE GIFT","/new-cars/2519363/2015-perodua-alza-1-5-a-s-series-new-facelift-with-diskaun-up-to-rm1800-or-attractive-free-gift.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-11,53632
"2015 Perodua AXIA 1.0 S.E (A)  AMAZING DISKAUN UP TO RM1500 OR ATTRACTIVE FREE GIFT STOCK IS READY","/new-cars/2422003/2015-perodua-axia-1-0-s-e-a-amazing-diskaun-up-to-rm1500-or-attractive-free-gift-stock-is-ready.html","Perodua","Axia","2015","998cc","Automatic",NA,"Others","NewCar",2015-12-11,38137
"2015 Perodua Alza 1.5 (A) ADVANCE VERSION WITH CRAZY DISCOUNT UP TO RM6300 AND ATTRACTIVE FREE GIFT","/new-cars/2121519/2015-perodua-alza-1-5-a-advance-version-with-crazy-discount-up-to-rm6300-and-attractive-free-gift.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-11,58632
"2015 PERODUA ALZA 7SEATER CLEARING STOCK YEAR END SALES","/new-cars/2636104/2015-perodua-alza-7seater-clearing-stock-year-end-sales.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Silver","NewCar",2015-12-11,47466
"2015 PERODUA MYVI (1.3 1.5CC) YEAR END SALES REBATE FREE GIFT","/new-cars/2636151/2015-perodua-myvi-1-3-1-5cc-year-end-sales-rebate-free-gift.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-11,36982
"PERODUA MYVI PROMOTION .O. DOWNPAYMENT..TNC APPLY","/new-cars/2083210/perodua-myvi-promotion-o-downpayment-tnc-apply.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"White","NewCar",2015-12-11,42350
"NEW ALZA PROMOTION .O. DOWNPAYMENT .MUKA O.   ","/new-cars/2084550/new-alza-promotion-o-downpayment-muka-o-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Silver","NewCar",2015-12-11,53500
"2015 Perodua Myvi M600 1.3 X Hatchback","/new-cars/2484467/2015-perodua-myvi-m600-1-3-x-hatchback.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Silver","NewCar",2015-12-11,42400
"Promotion for Perodua Myvi 1.5 SE Auto Hatchback","/new-cars/2415020/promotion-for-perodua-myvi-1-5-se-auto-hatchback.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-11,43700
"2015 Perodua Axia GVERSION FAST stock","/new-cars/2579175/2015-perodua-axia-gversion-fast-stock.html","Perodua","Axia","2015","998cc","Automatic",NA,"White","NewCar",2015-12-11,34027
"2015 Perodua Axia 998 Advance READY STOCK","/new-cars/2442267/2015-perodua-axia-998-advance-ready-stock.html","Perodua","Axia","2015","998cc","Automatic",NA,"Others","NewCar",2015-12-11,42637
"[CASH REBATE OR FREE GIFTS] 2015 Perodua Alza 1.5 S New Facelifts MPV READY STOCK","/new-cars/2499098/-cash-rebate-or-free-gifts-2015-perodua-alza-1-5-s-new-facelifts-mpv-ready-stock.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Blue","NewCar",2015-12-11,55300
"[YEAR ENDS GREAT PROMO] 2015 Perodua Myvi 1.5 SE READY STOCK ONLY AT RM49000*","/new-cars/2300531/-year-ends-great-promo-2015-perodua-myvi-1-5-se-ready-stock-only-at-rm49000-.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-11,49000
"PERODUA ALZA PROMOTION.O. DOWNPAYMENT..MUKA .O..","/new-cars/2083216/perodua-alza-promotion-o-downpayment-muka-o-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Silver","NewCar",2015-12-11,53500
"PERODUA MYVI 1.5 ADVANCE HATCHBACK OTR PRICE RM54300 ONLY ","/new-cars/2515525/perodua-myvi-1-5-advance-hatchback-otr-price-rm54300-only-.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-11,54300
"Perodua Myvi 1.3A STD G SPEC Hatchback OFFER PRICE OTR RM41000 ONLY ","/new-cars/2515511/perodua-myvi-1-3a-std-g-spec-hatchback-offer-price-otr-rm41000-only-.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-11,41000
"PERODUA AXIA 1.0A SE ADVANCE HIGH LOAN OTR PRICE ","/new-cars/2461642/perodua-axia-1-0a-se-advance-high-loan-otr-price-.html","Perodua","Axia","2015","998cc","Automatic",NA,"White","NewCar",2015-12-11,38500
"PERODUA ALZA 1.5 ADVANCE SELLING PRICE OTR RM59400 ONLY MAKE 2015YR","/new-cars/2457316/perodua-alza-1-5-advance-selling-price-otr-rm59400-only-make-2015yr.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-11,59400
"PERODUA ALZA 1.5 SE OFFER PRICE OTR RM56800 ONLY","/new-cars/2457288/perodua-alza-1-5-se-offer-price-otr-rm56800-only.html","Perodua","Alza","2015","1495cc","Automatic",NA,"White","NewCar",2015-12-11,56800
"PERODUA MYVI 1.5 SE HATCHBACK OTR PRICE RM48100 ONLY ","/new-cars/2457129/perodua-myvi-1-5-se-hatchback-otr-price-rm48100-only-.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-11,48100
"Perodua Myvi 1.3A PREMIUM X Hatchback OFFER PRICE OTR RM42000 ONLY","/new-cars/2362528/perodua-myvi-1-3a-premium-x-hatchback-offer-price-otr-rm42000-only.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Others","NewCar",2015-12-11,42500
"MYVI 1.5 PROMOTION .O.DOWNPAYMENT..TNC APPLY","/new-cars/2083211/myvi-1-5-promotion-o-downpayment-tnc-apply.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Blue","NewCar",2015-12-11,51000
"PERODUA AXIA E READY STOCK  STOK SEDIA ADA","/new-cars/2554919/perodua-axia-e-ready-stock-stok-sedia-ada.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-11,24800
"2015 Perodua Myvi 1.5 **Cash Rebate Rm3500**","/new-cars/2369050/2015-perodua-myvi-1-5-cash-rebate-rm3500-.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Orange","NewCar",2015-12-11,52000
"2015 Perodua Myvi 1.5 SE ZERO downpayment with full accessories","/new-cars/2052905/2015-perodua-myvi-1-5-se-zero-downpayment-with-full-accessories.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Blue","NewCar",2015-12-11,46500
"2015 Perodua Axia READY STOCK","/new-cars/2442277/2015-perodua-axia-ready-stock.html","Perodua","Axia","2015","998cc","Automatic",NA,"Others","NewCar",2015-12-10,42000
"2015 Perodua Axia SE AUTO READY STOCK","/new-cars/2501404/2015-perodua-axia-se-auto-ready-stock.html","Perodua","Axia","2015","998cc","Automatic",NA,"Yellow","NewCar",2015-12-10,40037
"2015 Perodua Alza 1.5 Advance REBATE 5K AND MORE","/new-cars/2620671/2015-perodua-alza-1-5-advance-rebate-5k-and-more.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-11,65432
"PERODUA ALZA PROMOTION .O. DOWNPAYMENT","/new-cars/2084556/perodua-alza-promotion-o-downpayment.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Maroon","NewCar",2015-12-10,54000
"NEW PERODUA AXIA .O. DOWNPAYMENT. MUKA .O.","/new-cars/1683671/new-perodua-axia-o-downpayment-muka-o-.html","Perodua","Axia","2014","-","Automatic",NA,"White","NewCar",2015-12-10,31800
"PERODUA MYVI TANPA MUKA O DOWNPAYMENT. TNC APPLY","/new-cars/2083209/perodua-myvi-tanpa-muka-o-downpayment-tnc-apply.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Gold","NewCar",2015-12-10,42400
"Year End Promotion ...2015 Perodua Myvi  1.3 (A) New Facelift Model","/new-cars/2054317/year-end-promotion-2015-perodua-myvi-1-3-a-new-facelift-model.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Others","NewCar",2015-12-10,44500
"ALZA SE 1.5 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574339/alza-se-1-5-a-rm0-dp-smart-tag-hamper.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-10,53929
"AXIA ADV 1.0 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574293/axia-adv-1-0-a-rm0-dp-smart-tag-hamper.html","Perodua","Axia","2015","998cc","Automatic",NA,"Red","NewCar",2015-12-10,38086
"MYVI ADV 1.5 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574318/myvi-adv-1-5-a-rm0-dp-smart-tag-hamper.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-10,52668
"MYVI PRE X 1.3 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574267/myvi-pre-x-1-3-a-rm0-dp-smart-tag-hamper.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Gold","NewCar",2015-12-10,42527
"MYVI STD 1.3 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574253/myvi-std-1-3-a-rm0-dp-smart-tag-hamper.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Silver","NewCar",2015-12-10,39775
"PERODUA MYVI 1.5 SE 2015 - BEST OF THE BEST DEAL","/new-cars/2431560/perodua-myvi-1-5-se-2015-best-of-the-best-deal.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Orange","NewCar",2015-12-09,53368
"ALZA STD S 1.5 (A).RM0 DP.SMART TAG.HAMPER  ","/new-cars/2574331/alza-std-s-1-5-a-rm0-dp-smart-tag-hamper-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-09,50259
"ALZA ADV 1.5 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574349/alza-adv-1-5-a-rm0-dp-smart-tag-hamper.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-09,59056
"AXIA SE 1.0 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574289/axia-se-1-0-a-rm0-dp-smart-tag-hamper.html","Perodua","Axia","2015","998cc","Automatic",NA,"Yellow","NewCar",2015-12-09,35940
"MYVI SE 1.5 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574309/myvi-se-1-5-a-rm0-dp-smart-tag-hamper.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Orange","NewCar",2015-12-09,48081
"MYVI XS 1.3 (A).RM0 DP.SMART TAG.HAMPER","/new-cars/2574274/myvi-xs-1-3-a-rm0-dp-smart-tag-hamper.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Gold","NewCar",2015-12-09,44362
"NEW MYVI 1.3 .O. DOWNPAYMENT MUKA O ","/new-cars/2083208/new-myvi-1-3-o-downpayment-muka-o-.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Gold","NewCar",2015-12-09,45700
"MYVI 1.3 n 1.5 PROMOTION .O.DOWNPAYMENT.CALL NOW.","/new-cars/2083213/myvi-1-3-n-1-5-promotion-o-downpayment-call-now-.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Orange","NewCar",2015-12-09,51200
"NEW ALZA PROMOTION .O. DOWNPAYMENT.TnC APPLY.","/new-cars/2083215/new-alza-promotion-o-downpayment-tnc-apply-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"White","NewCar",2015-12-09,53500
"PERODUA AXIA PROMOTION .O.DOWNPAYMENT.TnC APPLY ","/new-cars/2121379/perodua-axia-promotion-o-downpayment-tnc-apply-.html","Perodua","Axia","2015","1000cc","Automatic",NA,"White","NewCar",2015-12-09,31500
"2015 - Perodua AXIA SE (A) 1.0 ","/new-cars/2559684/2015-perodua-axia-se-a-1-0-.html","Perodua","Axia","2015","1000cc","Automatic",NA,"White","NewCar",2015-12-08,33188
"2015 Perodua Myvi 1.5 SE Hatchback","/new-cars/2354468/2015-perodua-myvi-1-5-se-hatchback.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"White","NewCar",2015-12-08,52332
"2015 - Perodua Axia SE 1.0","/new-cars/2422101/2015-perodua-axia-se-1-0.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-08,33188
"2015 - Perodua Myvi 1.5 SE","/new-cars/2422105/2015-perodua-myvi-1-5-se.html","Perodua","Myvi","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-08,48081
"2015 - Perodua Alza 1.5 Advance","/new-cars/2422098/2015-perodua-alza-1-5-advance.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Others","NewCar",2015-12-08,59056
"2015 Perodua Alza 1.5 Advance (Automatic) Raya Promotion","/new-cars/2368821/2015-perodua-alza-1-5-advance-automatic-raya-promotion.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Maroon","NewCar",2015-12-08,65432
"[CASH REBATE OR FREE GIFTS] 2015 Perodua Axia 1.0 SE READY STOCK","/new-cars/2301877/-cash-rebate-or-free-gifts-2015-perodua-axia-1-0-se-ready-stock.html","Perodua","Axia","2015","998cc","Automatic",NA,"White","NewCar",2015-12-08,39200
"[YEAR END GREAT PROMO] 2015 Perodua Alza 1.5 ADVANCE MPV READY STOCK ONLY AT RM60900*","/new-cars/2301743/-year-end-great-promo-2015-perodua-alza-1-5-advance-mpv-ready-stock-only-at-rm60900-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Maroon","NewCar",2015-12-08,60900
"[YEAR END GREAT PROMO] 2015 Perodua Myvi 1.3 Standard G READY STOCK ONLY AT RM42000*","/new-cars/2300568/-year-end-great-promo-2015-perodua-myvi-1-3-standard-g-ready-stock-only-at-rm42000-.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-08,42000
"NEW AXIA PROMOTION .O.DOWNPAYMENT.TnC APPLY","/new-cars/2121436/new-axia-promotion-o-downpayment-tnc-apply.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-08,23300
"PERODUA ALZA .O. DOWNPAYMENT.MUKA O.TnC APPLY.","/new-cars/2084543/perodua-alza-o-downpayment-muka-o-tnc-apply-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Red","NewCar",2015-12-08,53500
"PERODUA  MYVI O DOWNPAYMENT MUKA O ","/new-cars/2054454/perodua-myvi-o-downpayment-muka-o-.html","Perodua","Myvi","2015","1300cc","Automatic",NA,"Silver","NewCar",2015-12-08,43800
"2015 Perodua Myvi Premiun X Rebate 4k Full Loan","/new-cars/2620630/2015-perodua-myvi-premiun-x-rebate-4k-full-loan.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Red","NewCar",2015-12-11,47262
"NEW ALZA PROMO .O. DOWNPAYMENT .MUKA O.FAST APPROVAL   ","/new-cars/2084548/new-alza-promo-o-downpayment-muka-o-fast-approval-.html","Perodua","Alza","2015","1500cc","Automatic",NA,"Maroon","NewCar",2015-12-07,54000
"2015 Perodua Myvi XS auto PROMO value for money","/new-cars/2500243/2015-perodua-myvi-xs-auto-promo-value-for-money.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-07,42500
"2015 Perodua Alza 1.5 S new model PROMO ","/new-cars/2500355/2015-perodua-alza-1-5-s-new-model-promo-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-07,48000
"2015 Perodua Axia 998 (A) Advance - SPECIAL PROMOTION - SPECIAL FREE GIFT - ","/new-cars/2504837/2015-perodua-axia-998-a-advance-special-promotion-special-free-gift-.html","Perodua","Axia","2015","998cc","Automatic",NA,"Red","NewCar",2015-12-07,40570
" 2015 Perodua Myvi 1.5 (A) Advance - YEAR END PROMOTION - HIGH CAST REBATE RM 500","/new-cars/2504822/-2015-perodua-myvi-1-5-a-advance-year-end-promotion-high-cast-rebate-rm-500.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-07,49566
"2015 Perodua Alza 1.5 (A) Advance - HIGH CASH REBATE RM 4000 - YEAR END SALES - CALL FOR BEST PRICE","/new-cars/2575837/2015-perodua-alza-1-5-a-advance-high-cash-rebate-rm-4000-year-end-sales-call-for-best-price.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-07,59527
"2015 Perodua Myvi 1.5 SE (A) HIGH CAST REBATE RM 3500 - YEAR END PROMOTION - LIMITED STOCK","/new-cars/2575835/2015-perodua-myvi-1-5-se-a-high-cast-rebate-rm-3500-year-end-promotion-limited-stock.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-07,48459
"2015 Perodua Myvi 1.3 PREMIUM X (A) HIGH CASH REBATE - RM 3000 - YEAR END BIG SALES","/new-cars/2575832/2015-perodua-myvi-1-3-premium-x-a-high-cash-rebate-rm-3000-year-end-big-sales.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Others","NewCar",2015-12-07,42904
"2015 Perodua Alza 1.5 (A) SE - HIGH CAST REBATE UP TO RM 1000","/new-cars/2503576/2015-perodua-alza-1-5-a-se-high-cast-rebate-up-to-rm-1000.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Blue","NewCar",2015-12-07,54374
"2015 Perodua Myvi 1.3 STANDARD G (A) YEAR END PROMOTION - HIGH CASH REBATE RM 1500","/new-cars/2575830/2015-perodua-myvi-1-3-standard-g-a-year-end-promotion-high-cash-rebate-rm-1500.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"Others","NewCar",2015-12-07,40126
" Perodua Axia (SE) AT - NEW","/new-cars/2505920/-perodua-axia-se-at-new.html","Perodua","Axia","2015","998cc","Automatic",NA,"White","NewCar",2015-12-07,39000
"2015 Perodua Alza 1.5 Advance ","/new-cars/2563371/2015-perodua-alza-1-5-advance-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Maroon","NewCar",2015-12-07,59200
"2015 Perodua Alza 1.5 SE ","/new-cars/2563379/2015-perodua-alza-1-5-se-.html","Perodua","Alza","2015","1495cc","Automatic",NA,"White","NewCar",2015-12-07,56300
"2015 Perodua Myvi 1.3 XS ft. Gear Up Acc","/new-cars/2558343/2015-perodua-myvi-1-3-xs-ft-gear-up-acc.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-07,47900
